timestamp,omega_rad_s,frequency_Hz,wave_amplitude_m,c_pto_Ns_m,k_pto_N_m,buoy_mass_kg,buoy_radius_m,water_depth_m,water_density_kg_m3,P_absorbed_W,E_cycle_J
2026-02-24 19:55:12,1.0995574287564276, 0.175, 2.0,50000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,12692.958802052468, 72531.19315458553
2026-02-24 19:55:12,1.0995574287564276, 0.175, 2.0,100000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,24967.68011082302, 142672.45777613154
2026-02-24 19:55:13,1.0995574287564276, 0.175, 2.0,150000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,36666.647982058115, 209523.7027546178
2026-02-24 19:55:13,1.0995574287564276, 0.175, 2.0,200000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,47659.992560810286, 272342.81463320163
2026-02-24 19:55:13,1.2566370614359172, 0.2, 2.0,50000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,11713.287825490528, 58566.43912745264
2026-02-24 19:55:13,1.2566370614359172, 0.2, 2.0,100000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,22900.582454158208, 114502.91227079104
2026-02-24 19:55:14,1.2566370614359172, 0.2, 2.0,150000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,33378.60286377571, 166893.01431887856
2026-02-24 19:55:14,1.2566370614359172, 0.2, 2.0,200000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,43008.50022134159, 215042.50110670793
2026-02-24 19:55:14,1.4137166941154067, 0.22499999999999998, 2.0,50000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,10391.316345307228, 46183.62820136547
2026-02-24 19:55:14,1.4137166941154067, 0.22499999999999998, 2.0,100000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,20183.395552272646, 89703.9802323229
2026-02-24 19:55:15,1.4137166941154067, 0.22499999999999998, 2.0,150000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,29176.28434172061, 129672.37485209163
2026-02-24 19:55:15,1.4137166941154067, 0.22499999999999998, 2.0,200000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,37233.60059297985, 165482.6693021327
2026-02-24 19:55:15,1.5707963267948966, 0.25, 2.0,50000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,9003.993268297123, 36015.97307318849
2026-02-24 19:55:15,1.5707963267948966, 0.25, 2.0,100000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,17364.361970759903, 69457.44788303961
2026-02-24 19:55:16,1.5707963267948966, 0.25, 2.0,150000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,24869.752686596225, 99479.0107463849
2026-02-24 19:55:16,1.5707963267948966, 0.25, 2.0,200000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,31394.237230999584, 125576.94892399834
2026-02-24 19:55:16,1.727875959474386, 0.27499999999999997, 2.0,50000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,7699.908165460852, 27999.666056221282
2026-02-24 19:55:16,1.727875959474386, 0.27499999999999997, 2.0,100000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,14728.787081811353, 53559.22575204129
2026-02-24 19:55:16,1.727875959474386, 0.27499999999999997, 2.0,150000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,20866.231120597764, 75877.20407490096
2026-02-24 19:55:17,1.727875959474386, 0.27499999999999997, 2.0,200000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,26003.56427260001, 94558.41553672732
2026-02-24 19:55:17,1.8849555921538759, 0.3, 2.0,50000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,6514.884115182392, 21716.280383941306
2026-02-24 19:55:17,1.8849555921538759, 0.3, 2.0,100000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,12340.114581369327, 41133.71527123109
2026-02-24 19:55:17,1.8849555921538759, 0.3, 2.0,150000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,17248.06351558176, 57493.54505193921
2026-02-24 19:55:18,1.8849555921538759, 0.3, 2.0,200000.0, 500000.0, 400.0, 5.0,100.0, 1000.0,21155.823986774147, 70519.41328924715
2026-02-24 19:55:18,0.9424777960769379, 0.15, 2.0,50000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,12873.474649985154, 85823.16433323437
2026-02-24 19:55:18,0.9424777960769379, 0.15, 2.0,100000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,25461.66371565616, 169744.42477104106
2026-02-24 19:55:18,0.9424777960769379, 0.15, 2.0,150000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,37643.68465154113, 250957.8976769409
2026-02-24 19:55:19,0.9424777960769379, 0.15, 2.0,200000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,49312.91909111165, 328752.79394074436
2026-02-24 19:55:19,1.0995574287564276, 0.175, 2.0,50000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,12695.725786056602, 72547.00449175201
2026-02-24 19:55:19,1.0995574287564276, 0.175, 2.0,100000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,24973.033215490635, 142703.04694566078
2026-02-24 19:55:20,1.0995574287564276, 0.175, 2.0,150000.0, 500000.0, 500.0, 5.0,100.0, 1000.0,36674.344575741736, 209567.68328995278
